orientation,h,k,l,thickness_A,I_with_abs,I_without_abs,L_factor
orientation_1,5,9,-7,1900.0,1.8746663843461907e-05,0.0001613459158365369,4.61497367813839
orientation_1,5,9,-7,1920.0,1.851073599245784e-05,0.00016296607876472075,4.61497367813839
orientation_1,5,9,-7,1940.0,1.8275866825447596e-05,0.00016458530139398065,4.61497367813839
orientation_1,5,9,-7,1960.0,1.8041592554808744e-05,0.00016619861577663741,4.61497367813839
orientation_1,5,9,-7,1980.0,1.7808650719137045e-05,0.00016781200187721115,4.61497367813839
orientation_1,5,9,-7,2000.0,1.7576777075131712e-05,0.0001694223426473767,4.61497367813839
orientation_1,5,9,-7,2020.0,1.7346099459307553e-05,0.00017103015188274766,4.61497367813839
orientation_1,5,9,-7,2040.0,1.711668762279835e-05,0.00017263544146992448,4.61497367813839
orientation_1,5,9,-7,2060.0,1.6888600841017885e-05,0.00017423815389283414,4.61497367813839
orientation_1,5,9,-7,2080.0,1.666189473259339e-05,0.00017583822601094124,4.61497367813839
orientation_1,5,9,-7,2100.0,1.6436540860331856e-05,0.00017743472395393494,4.61497367813839
orientation_1,5,9,-7,2120.0,1.6212881358122328e-05,0.00017903076827993067,4.61497367813839
orientation_1,5,9,-7,2140.0,1.599064870368424e-05,0.00018062288985056443,4.61497367813839
orientation_1,5,9,-7,2160.0,1.57700140762739e-05,0.00018221242521425162,4.61497367813839
orientation_1,5,9,-7,2180.0,1.555102389959481e-05,0.0001837993920942348,4.61497367813839
orientation_1,5,9,-7,2200.0,1.533368469013397e-05,0.0001853833688908832,4.61497367813839
orientation_1,5,9,-7,2220.0,1.5118069671187153e-05,0.00018696473335598027,4.61497367813839
orientation_1,5,9,-7,2240.0,1.490414753814454e-05,0.00018854263858528644,4.61497367813839
orientation_1,5,9,-7,2260.0,1.4692211988313684e-05,0.00019012040567971476,4.61497367813839
orientation_1,5,9,-7,2280.0,1.4481730172837397e-05,0.00019169069070799972,4.61497367813839
orientation_1,5,9,-7,2300.0,1.4273400027398891e-05,0.00019326222933177406,4.61497367813839
orientation_1,5,9,-7,2320.0,1.4066831337195658e-05,0.00019482950181689136,4.61497367813839
orientation_1,5,9,-7,2340.0,1.3862152168113409e-05,0.00019639389736387624,4.61497367813839
orientation_1,5,9,-7,2360.0,1.3659383382597656e-05,0.00019795538103510037,4.61497367813839
orientation_1,5,9,-7,2380.0,1.3458516740203192e-05,0.00019951349524314086,4.61497367813839
orientation_1,5,9,-7,2400.0,1.3259737113858649e-05,0.0002010707619685176,4.61497367813839
orientation_1,5,9,-7,2420.0,1.3062687931714896e-05,0.0002026214010779274,4.61497367813839
orientation_1,5,9,-7,2440.0,1.2860827915358646e-05,0.00020417179950921077,4.61497367813839
orientation_1,5,9,-7,2460.0,1.2674855289077888e-05,0.00020571843310444925,4.61497367813839
orientation_1,5,9,-7,2480.0,1.2483915529053969e-05,0.00020726202611137513,4.61497367813839
orientation_1,5,9,-7,2500.0,1.2295204784105516e-05,0.00020880625461438127,4.61497367813839
orientation_1,7,5,-2,100.0,0.00010968050676339,0.0001226204419501528,2.719121911131404
orientation_1,7,5,-2,120.0,0.00012865919759366622,0.00014708239455991093,2.719121911131404
orientation_1,7,5,-2,140.0,0.00014670188364403024,0.00017149112391217516,2.719121911131404
orientation_1,7,5,-2,160.0,0.00016383433410192808,0.00019583783239303737,2.719121911131404
orientation_1,7,5,-2,180.0,0.00018008197942952743,0.00022011375608648438,2.719121911131404
orientation_1,7,5,-2,200.0,0.00019546989018182323,0.0002443101694916877,2.719121911131404
orientation_1,7,5,-2,220.0,0.00021002279195259148,0.00026841839023579824,2.719121911131404
orientation_1,7,5,-2,240.0,0.00022376504672504683,0.0002924297837673196,2.719121911131404
orientation_1,7,5,-2,260.0,0.00023672065104818614,0.00031633576802481594,2.719121911131404
orientation_1,7,5,-2,280.0,0.00024891323155687303,0.0003401278180717815,2.719121911131404
orientation_1,7,5,-2,300.0,0.00026036604095314587,0.000363797470702992,2.719121911131404
orientation_1,7,5,-2,320.0,0.0002711019544353577,0.00038733632900840614,2.719121911131404
orientation_1,7,5,-2,340.0,0.00028114346656176863,0.0004107360669018637,2.719121911131404
orientation_1,7,5,-2,360.0,0.0002905126885369095,0.00043398843360382955,2.719121911131404
orientation_1,7,5,-2,380.0,0.0002992313459036684,0.0004570852580814477,2.719121911131404
orientation_1,7,5,-2,400.0,0.0003073207766354314,0.000480018453438836,2.719121911131404
orientation_1,7,5,-2,420.0,0.0003148019296071245,0.0005027800212576199,2.719121911131404
orientation_1,7,5,-2,440.0,0.00032169536343985876,0.0005253620558839006,2.719121911131404
orientation_1,7,5,-2,460.0,0.00032802124570123666,0.000547756748659752,2.719121911131404
orientation_1,7,5,-2,480.0,0.0003337993524531619,0.0005699563920948979,2.719121911131404
orientation_1,7,5,-2,500.0,0.00033904906813083866,0.0005919533839810155,2.719121911131404
orientation_1,7,5,-2,520.0,0.0003437893857448022,0.0006137402314383321,2.719121911131404
orientation_1,7,5,-2,540.0,0.0003480389073912984,0.0006353095548999552,2.719121911131404
orientation_1,7,5,-2,560.0,0.0003518158450590466,0.0006566540920260475,2.719121911131404
orientation_1,7,5,-2,580.0,0.0003551380217236869,0.0006777667015486661,2.719121911131404
orientation_1,7,5,-2,600.0,0.00035802287271604157,0.0006986403670426405,2.719121911131404
orientation_1,7,5,-2,620.0,0.0003604874473500541,0.0007192682006243943,2.719121911131404
orientation_1,7,5,-2,640.0,0.0003625484108082277,0.0007396434465689205,2.719121911131404
orientation_1,7,5,-2,660.0,0.00036422204626226874,0.0007597594848519827,2.719121911131404
orientation_1,7,5,-2,680.0,0.00036552425722648685,0.0007796098346080214,2.719121911131404
orientation_1,7,5,-2,700.0,0.0003664705701308997,0.0007991881575054007,2.719121911131404
orientation_1,7,5,-2,720.0,0.0003670761371015357,0.000818488261037633,2.719121911131404
orientation_1,7,5,-2,740.0,0.0003673557389403189,0.0008375041017243301,2.719121911131404
orientation_1,7,5,-2,760.0,0.00036732378829420635,0.0008562297882251402,2.719121911131404
orientation_1,7,5,-2,780.0,0.0003669943330024266,0.0008746595843620535,2.719121911131404
orientation_1,7,5,-2,800.0,0.0003663810596128485,0.0008927879120489831,2.719121911131404
orientation_1,7,5,-2,820.0,0.0003654972970587778,0.0009106093541250904,2.719121911131404
orientation_1,7,5,-2,840.0,0.00036435602048693694,0.0009281186570951161,2.719121911131404
orientation_1,7,5,-2,860.0,0.00036296985522520753,0.0009453107337691037,2.719121911131404
orientation_1,7,5,-2,880.0,0.0003613510808849699,0.0009621806658026034,2.719121911131404
orientation_1,7,5,-2,900.0,0.0003595116355866184,0.0009787237061389868,2.719121911131404
orientation_1,7,5,-2,920.0,0.00035746312030227116,0.0009949352813465335,2.719121911131404
orientation_1,7,5,-2,940.0,0.0003552168033050688,0.0010108109938540913,2.719121911131404
orientation_1,7,5,-2,960.0,0.0003527836247408348,0.001026346624145681,2.719121911131404
orientation_1,7,5,-2,980.0,0.0003501742011573163,0.0010415381324528773,2.719121911131404
orientation_1,7,5,-2,1000.0,0.0003473988304546177,0.0010563816613368868,2.719121911131404
orientation_1,7,5,-2,1020.0,0.0003444674964644738,0.0010708735368308519,2.719121911131404
orientation_1,7,5,-2,1040.0,0.0003413898739349442,0.001085010270471033,2.719121911131404
orientation_1,7,5,-2,1060.0,0.0003381753334351652,0.0010987885607885216,2.719121911131404
orientation_1,7,5,-2,1080.0,0.00033483294639633014,0.0011122052949453331,2.719121911131404
orientation_1,7,5,-2,1100.0,0.0003313714900575,0.0011252575497809993,2.719121911131404
orientation_1,7,5,-2,1120.0,0.0003277994526501535,0.0011379425933888416,2.719121911131404
orientation_1,7,5,-2,1140.0,0.0003241250384707085,0.0011502578860880575,2.719121911131404
orientation_1,7,5,-2,1160.0,0.0003203561730487575,0.0011622010814888012,2.719121911131404
orientation_1,7,5,-2,1180.0,0.000316500508196205,0.0011737700269000516,2.719121911131404
orientation_1,7,5,-2,1200.0,0.0003125654274789563,0.0011849627651215134,2.719121911131404
