Index,hkl,U_g_real,U_g_imag,g_mag
136,"(7, -6, 10)",-5.521692480798254e-06,3.017097035213837e-05,1.407745675828377
138,"(8, -10, 15)",0.0001316002611963,1.3452288260916868e-05,2.007272800189821
145,"(8, -1, 5)",-0.0009619757459963,-0.0002718438924619,1.079853700919525
191,"(12, -1, 7)",-0.0002147078710074,-2.455668049739029e-05,1.5979273800775495
208,"(14, -1, 8)",-3.846428188426975e-05,-5.285329374610355e-06,1.857624854778313
227,"(-15, -1, -5)",-0.0004566624855428,-6.574480959526667e-05,1.8996585343296808
241,"(-13, -6, 1)",2.6608333756699165e-05,-8.078994762259055e-08,1.7568156232182537
247,"(-12, 0, -5)",1.2361536385413064e-18,1.9659078893312675e-18,1.5380172051796177
284,"(-9, 3, -7)",-0.0001656602100963,8.268394553948706e-06,1.3084503830770289
285,"(-9, 4, -8)",-0.0005077784258311,-0.0001379174268386,1.3858897204196223
286,"(-9, 5, -9)",1.5855641260388414e-05,-2.645300605949405e-05,1.4739140158807815
287,"(-9, 6, -10)",0.0006269067585417,0.0001301685427643,1.5707447380492876
288,"(-9, 7, -11)",4.499608891547539e-05,1.4176097121450149e-05,1.6748551683246868
366,"(-4, 10, -12)",0.0011583451881443,0.0005640087791197,1.6477712455668494
29,"(1, 10, -10)",0.0002025708875121,4.064584271611e-05,1.47288264104733
158,"(9, -6, 11)",0.0001773327207875,2.52429617783624e-05,1.6183644604733036
165,"(10, -1, 6)",0.0001196655651696,4.221592559643592e-05,1.33858503033414
180,"(11, -6, 12)",-0.0004793253801333,-7.132043488978845e-05,1.8418184836064588
200,"(14, 0, 7)",-4.967720229651978e-19,3.550572133131105e-18,1.824276824603112
223,"(-15, -2, -4)",0.0001850001934406,2.33965710798224e-05,1.8938186943101216
255,"(-12, -1, -4)",-0.0005012723323435,-8.10502255098916e-05,1.5214212968631706
277,"(-10, -5, 1)",-0.000491782277709,-0.0001045364462712,1.3719147855726337
282,"(-9, 2, -6)",-1.200125673314262e-05,5.3094111383378287e-05,1.2435750036241269
288,"(-9, 8, -12)",-0.000228344461261,-3.696132559875621e-05,1.7849719702205362
289,"(-9, 9, -13)",-5.421406011464224e-05,-8.18600593770368e-06,1.900051139031981
367,"(-4, 11, -13)",3.988256738972095e-05,1.0719562647171216e-05,1.7878650637240463
368,"(-4, -13, 13)",0.0003160958528742,3.675665472877155e-05,1.970621565307046
67,"(3, 14, -13)",-6.172541413521546e-05,-7.096660832825259e-06,2.040477483238269
68,"(3, -12, 15)",-9.91398395993329e-05,-5.78525776816772e-06,1.955597936814658
80,"(4, -9, 12)",-0.000422541623324,-7.426403604501542e-05,1.5630886249862357
104,"(5, -5, 8)",-0.0040650625117807,-0.001318042936744,1.0953883465900076
133,"(8, 0, 4)",0.0024425895654245,0.0011672903918474,1.0424438997732062
181,"(12, 0, 6)",0.0013695410914897,0.0006143837272969,1.5636658496598097
199,"(13, -5, 12)",-0.0005370356122065,-0.0002966749786158,1.990758128085657
223,"(-15, -3, -3)",0.0002149891620264,3.146695195701644e-05,1.899336790471892
282,"(-9, 1, -5)",0.0004166464371755,5.257751664434421e-05,1.1933144896286756
291,"(-9, 10, -14)",-9.260365526079134e-05,-6.129363689368615e-07,2.019244419146715
369,"(-4, 12, -14)",0.0012209705549053,0.0004373038438409,1.928952355893668
411,"(-1, -11, 12)",-0.0022015341336485,-0.0007547008525834,1.6697566313355134
29,"(1, 11, -11)",0.000106353066594,4.741746919500713e-06,1.6191874816899932
109,"(6, -9, 13)",-0.0001153615639963,-1.3352422510443296e-05,1.7109848064257236
133,"(7, -5, 9)",-0.0010082077245133,-0.0002545586218569,1.298819449629537
136,"(8, -9, 14)",-0.0001617667879619,-2.7074095124054635e-05,1.8834882868230896
160,"(9, -5, 10)",-0.0026554243736388,-0.0008926628172861,1.5198106645725828
162,"(10, 0, 5)",-2.0487032264921346e-18,-4.6211350973506784e-20,1.3030548747165078
183,"(11, -5, 11)",-1.758660546859649e-05,-3.443199199735532e-06,1.7517286062866395
204,"(14, 1, 6)",0.0001940894138977,3.151613323837548e-05,1.8023002139856024
216,"(16, 2, 6)",0.000567465625721,0.0002659120614849,2.0497598394093144
254,"(-12, -2, -3)",0.0002633797816292,4.348816964336124e-05,1.5188919969911543
281,"(-9, 0, -4)",-6.777664809447668e-19,1.0282025591605259e-17,1.159570804018205
30,"(1, 12, -12)",0.0001537768569439,2.3017664342307647e-05,1.765569943185283
49,"(2, -8, 10)",0.0030902980618487,0.0011745562199779,1.3037319578764384
184,"(12, 1, 5)",-0.0004074542520036,-9.87821471620306e-05,1.5426646309674203
202,"(13, -4, 11)",0.0002612635397102,3.6758947683311216e-05,1.9152015192207208
217,"(16, 3, 5)",0.000184965356235,2.1316756215642952e-05,2.0478088230633795
226,"(-15, -4, -2)",-0.000269544101799,-3.503296063192154e-05,1.916114698345672
230,"(-14, 4, -10)",0.0006377964628992,0.0003122399863501,1.981353051829136
237,"(-13, -7, 2)",-0.0006394655044367,-0.0003814983128208,1.814974507760647
325,"(-6, 5, -8)",-0.0009758122957777,-0.0002448830951883,1.1690866599555956
326,"(-6, 6, -9)",-0.0005615503652842,-0.0001799598833114,1.2834004395658332
